0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ABHD6.57406,1_ACTN2.88,1_AGMAT.79814,1_AKAP6.9472,1_ALDH1L1.10840,1_AP1M1.8907,1_AURKA.6790,1_AURKB.9212,1_C11orf48.79081,1_C12orf32.83695,1_C17orf70.80233,1_C20orf27.54976,1_C6orf1.221491,1_CACNA1D.776,1_CCDC59.29080,1_CCNF.899,1_CDC25B.994,1_CDCA3.83461,1_CDH13.1012,1_CMAS.55907,1_COPS7A.50813,1_COPS7B.64708,1_CWF19L2.143884,1_CYP3A7.1551,1_DBF4.10926,1_DCBLD2.131566,1_DDAH1.23576,1_DENND4C.55667,1_DHRS12.79758,1_DKFZP434L187.26082,1_DNAJC9.23234,1_EHBP1.23301,1_FAM160A1.729830,1_FLT1.2321,1_FREM2.341640,1_GARS.2617,1_GDF5.8200,1_GFPT2.9945,1_GIMAP8.155038,1_GIPC2.54810,1_GNASAS.149775,1_GTF2E2.2961,1_HAUS5.23354,1_HECW2.57520,1_HELQ.113510,1_HIBCH.26275,1_HJURP.55355,1_HOXA2.3199,1_HOXB13.10481,1_IL1RN.3557,1_IYD.389434,1_KCNJ3.3760,1_KIAA0564.23078,1_KIAA1671.85379,1_KIF4A.24137,1_LEPRE1.64175,1_LIMK1.3984,1_MAGOHB.55110,1_MARS.4141,1_MLF2.8079,1_MYBL2.4605,1_NBEA.26960,1_OIT3.170392,1_OSTalpha.200931,1_PCCA.5095,1_PDIA2.64714,1_PGPEP1.54858,1_PHF13.148479,1_PI3.5266,1_PLAU.5328,1_PPAP2A.8611,1_RAB3IP.117177,1_RAC3.5881,1_RDX.5962,1_RPL22L1.200916,1_RRP12.23223,1_SC65.10609,1_SEMA7A.8482,1_SHC1.6464,1_SIPA1L1.26037,1_SLC10A6.345274,1_SLC23A3.151295,1_SLC5A12.159963,1_TCN2.6948,1_THBS3.7059,1_TM4SF19.116211,1_TRIP13.9319,1_VWA5B1.127731,1_ZNF420.147923,1_ZXDA.7789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
