0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.miR.1226.3p,1_hsa.miR.1250.5p,1_hsa.miR.1307.3p,1_hsa.miR.1468.5p,1_hsa.miR.146b.5p,1_hsa.miR.190b,1_hsa.miR.29c.3p,1_hsa.miR.301a.3p,1_hsa.miR.32.3p,1_hsa.miR.3605.3p,1_hsa.miR.3609,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.3681.5p,1_hsa.miR.374a.5p,1_hsa.miR.454.3p,1_hsa.miR.4668.3p,1_hsa.miR.508.3p,1_hsa.miR.887.3p,1_hsa.miR.937.3p
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1
1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1
1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0
1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
